quest_id,quest_xml,quest_xml_sha256,route_type,npc_id,source_node,source_status,target_node,target_status,actual_page,expected_page,expected_page_id,client_actions,client_source_file,client_source_sha256,legacy_template_type,legacy_source_git_object,legacy_source_sha256,audit_status,fix_status,unresolved_reason
1101,src/main/resources/aion/data/static_data/quest_definition/quests/1101.xml,fe4f734f07a153bf74b1bb9a8a3aa5c55bf9d968eaefc6a30eb7fba916375fdc,NPC_REPORT,203057,started,START,reward,REWARD,SELECT5,SELECT5,2375,1009,QUEST_Q1101.html,f0c5ff4a07ef15c8bf0e09f4bcef9805f586b32e6077de3b0ec7cb0824a3ba32,report_to,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca,CLIENT_LIFECYCLE_ALIGNED,NOT_NEEDED,
1101,src/main/resources/aion/data/static_data/quest_definition/quests/1101.xml,fe4f734f07a153bf74b1bb9a8a3aa5c55bf9d968eaefc6a30eb7fba916375fdc,NPC_START,203049,unaccepted,NONE,started,START,SELECT1,SELECT1,1011,1007,QUEST_Q1101.html,f0c5ff4a07ef15c8bf0e09f4bcef9805f586b32e6077de3b0ec7cb0824a3ba32,report_to,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca,CLIENT_LIFECYCLE_ALIGNED,NOT_NEEDED,
1102,src/main/resources/aion/data/static_data/quest_definition/quests/1102.xml,fbb521cd72764c563d6bee3181f3b2d004cb1797038ea5dfc3dba8a70f97c91d,NPC_REPORT,203057,target-count-reached,START,reward,REWARD,SELECT2,SELECT2,1352,1009,QUEST_Q1102.html,412fc3104bc12e454add65e39f4a917c4f6debfc64c0543ee450c4e96d50cf91,monster_hunt,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca,CLIENT_LIFECYCLE_ALIGNED,NOT_NEEDED,
1102,src/main/resources/aion/data/static_data/quest_definition/quests/1102.xml,fbb521cd72764c563d6bee3181f3b2d004cb1797038ea5dfc3dba8a70f97c91d,NPC_START,203057,unaccepted,NONE,started,START,SELECT1,SELECT1,1011,1007,QUEST_Q1102.html,412fc3104bc12e454add65e39f4a917c4f6debfc64c0543ee450c4e96d50cf91,monster_hunt,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca,CLIENT_LIFECYCLE_ALIGNED,NOT_NEEDED,
1104,src/main/resources/aion/data/static_data/quest_definition/quests/1104.xml,6e92b7a32bd91c396035b87db989c026656efd4d1badadd8624cf7ef04a82a41,NPC_REPORT,203059,started,START,reward,REWARD,SELECT5,SELECT5,2375,1009,QUEST_Q1104.html,92fd9014e6003a76da9c2b7a6b287de323c8a8c5c8748089694f1ca5cc3d93a4,report_to,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca,CLIENT_LIFECYCLE_ALIGNED,NOT_NEEDED,
1104,src/main/resources/aion/data/static_data/quest_definition/quests/1104.xml,6e92b7a32bd91c396035b87db989c026656efd4d1badadd8624cf7ef04a82a41,NPC_START,203057,unaccepted,NONE,started,START,SELECT1,SELECT1,1011,1007,QUEST_Q1104.html,92fd9014e6003a76da9c2b7a6b287de323c8a8c5c8748089694f1ca5cc3d93a4,report_to,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca,CLIENT_LIFECYCLE_ALIGNED,NOT_NEEDED,
1106,src/main/resources/aion/data/static_data/quest_definition/quests/1106.xml,a8c1de21c9e43fb2b39f1ecdbb0dd534417fd119c4a23f29b85af6a248ec7c8e,NPC_START,203050,unaccepted,NONE,started,START,SELECT1,SELECT1,1011,1007,QUEST_Q1106.html,10d805c814b91abde363bd4b08c26c847c967c46a14757ae6c23d44958bc385b,report_to,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca,CLIENT_LIFECYCLE_ALIGNED,NOT_NEEDED,
1107,src/main/resources/aion/data/static_data/quest_definition/quests/1107.xml,81aab210cc2f9c819fd0883b6c61f8be3ba1b73a1e5a79206f2396e072e30fcf,NPC_REPORT,203075,started,START,reward,REWARD,SELECT5,SELECT5,2375,1009,QUEST_Q1107.html,9846d3e172c916f92a87ef7b27c8b23232bb8f12262c497f0c56d339b3d0722a,item_order,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca,CLIENT_LIFECYCLE_ALIGNED,NOT_NEEDED,
1110,src/main/resources/aion/data/static_data/quest_definition/quests/1110.xml,aad70552988eeb06e21643ae16f67d9e935d4c1fe34dba872af1f66c5bcbc20d,NPC_START,203065,unaccepted,NONE,started,START,SELECT1,SELECT1,1011,1007,QUEST_Q1110.html,75c2385fb08fb01c015256641d5556b819481659a762a9d2de636f1553da0aae,report_to,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca,CLIENT_LIFECYCLE_ALIGNED,NOT_NEEDED,
1111,src/main/resources/aion/data/static_data/quest_definition/quests/1111.xml,b8f1a22f96b7f1b8a3dd37af8f83f41a580419ffa2396ebfbe4a9c2dff27eeae,NPC_START,203075,unaccepted,NONE,started,START,SELECT1,SELECT1,1011,1007,QUEST_Q1111.html,b0eb6fbaf19e596315c32f8b06d6708aba670bdc01254c233bd822916e93887e,,,,EVIDENCE_REQUIRED,EVIDENCE_REQUIRED,quest has no unique full legacy template contract
1112,src/main/resources/aion/data/static_data/quest_definition/quests/1112.xml,a3b1fe455fd2822c8b895693c0eb64154b429b98a392b599575aa5f402571c74,NPC_REPORT,203072,a5b5,START,reward,REWARD,SELECT2,SELECT2,1352,1009,QUEST_Q1112.html,13e36be06bdff4246be4432e4758fcc4c41c3dfc2f4fca2bc8c76e1897ce348e,monster_hunt,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca,CLIENT_LIFECYCLE_ALIGNED,NOT_NEEDED,
1112,src/main/resources/aion/data/static_data/quest_definition/quests/1112.xml,a3b1fe455fd2822c8b895693c0eb64154b429b98a392b599575aa5f402571c74,NPC_START,203072,unaccepted,NONE,a0b0,START,SELECT1,SELECT1,1011,1007,QUEST_Q1112.html,13e36be06bdff4246be4432e4758fcc4c41c3dfc2f4fca2bc8c76e1897ce348e,monster_hunt,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca,CLIENT_LIFECYCLE_ALIGNED,NOT_NEEDED,
